ID (Count),File Name,Code Block,Equivalent Mutant
1,BinarySearch.c,"int tmp = (int) end / 2;
    /* divide array length in half */
    /* if number is greater than element in half, do search by start to tmp
         * else search by tmp to end
     */
        if(number == array[tmp]) {
                return 0;
        } else if(number > array[tmp]) {
                return binarySearch(array, number, start, tmp);
        } else {
                return binarySearch(array, number, tmp, end);
        }",Replaced > with >=
2,permutation.c,"while (1) {
                /* find largest k such that a[k - 1] < a[k] */
                for (p = A(n - 1); (void*)p > a; p = q)
                        if (_cmp(q = p - msize, p) > 0)
                                break;
 
                if ((void*)p <= a) break;
 
                /* find largest l such that a[l] > a[k - 1] */
                for (p = A(n - 1); p > q; p-= msize)
                        if (_cmp(q, p) > 0) break;
 
                swap(p, q); /* swap a[k - 1], a[l] */
                /* flip a[k] through a[end] */
                for (q += msize, p = A(n - 1); q < p; q += msize, p -= msize)
                        swap(p, q);
        }",Replaced 1 with 2
3,oddOrPos.c,"int oddOrPos (int x[], int length)
{  
   /* Effects: return the number of elements in x that
        are either odd or positive (or both) */
           int count = 0;
        int i;
           for (i = 0; i < length; i++) {
                if (x[i] % 2 == 1 || x[i] % 2 == -1 || x[i] > 0) {
                        count++;
                }
        }
           return count;
}",Replaced == with >=
4,oddOrPos.c,"int oddOrPos (int x[], int length)
{  
   /* Effects: return the number of elements in x that
        are either odd or positive (or both) */
           int count = 0;
        int i;
           for (i = 0; i < length; i++) {
                if (x[i] % 2 == 1 || x[i] % 2 == -1 || x[i] > 0) {
                        count++;
                }
        }
           return count;
}",Replaced == with <=
5,bubble.c,"int main()
{
  int array[100], n, c, d, swap;
 
  printf(""Enter number of elements\n"");
  scanf(""%d"", &n);
 
  printf(""Enter %d integers\n"", n);
 
  for (c = 0; c < n; c++)
    scanf(""%d"", &array[c]);
 
  for (c = 0 ; c < ( n - 1 ); c++)
  {
    for (d = 0 ; d < n - c - 1; d++)
    {
      if (array[d] > array[d+1]) /* For decreasing order use < */
      {
        swap       = array[d];
        array[d]   = array[d+1];
        array[d+1] = swap;
      }
    }
  }
 
  printf(""Sorted list in ascending order:\n"");
 
  for ( c = 0 ; c < n ; c++ )
     printf(""%d\n"", array[c]);
 
  return 0;
}",Replaced 0 with 1
6,flex.c,"if ( yymore_really_used == true )
                yymore_used = true;
        else if ( yymore_really_used == false )
                yymore_used = false;

",Replaced == with >=
7,flex.c,"if ( yymore_really_used == true )
                yymore_used = true;
        else if ( yymore_really_used == false )
                yymore_used = false;

",Replaced == with <=
8,flex.c,"if ( yymore_really_used == true )
                yymore_used = true;
        else if ( yymore_really_used == false )
                yymore_used = false;

",Replaced == with >=
9,flex.c,"if ( yymore_really_used == true )
                yymore_used = true;
        else if ( yymore_really_used == false )
                yymore_used = false;

",Replaced == with <=
10,flex.c,"if ( interactive == false )
                        putc( 'B', err );",Replaced == with <=
11,flex.c,"if ( interactive == true )
                        putc( 'I', err );",Replaced == with >=
12,flex.c,"if ( reject_really_used == true )
                reject = true;
        else if ( reject_really_used == false )
                reject = false;",Replaced == with >=
13,flex.c,"if ( reject_really_used == true )
                reject = true;
        else if ( reject_really_used == false )
                reject = false;",Replaced == with <=
14,flex.c,"if ( csize == unspecified )
                        /* We encountered an error fairly early on, so csize
                         * never got specified.  Define it now, to prevent
                         * bogus table sizes being written out below.
                         */
                        csize = 256;",Replaced == with <=
15,flex.c,"if ( interactive == unspecified )
                {
                if ( fulltbl || fullspd )
                        interactive = false;
                else
                        interactive = true;
                }",Replaced == with <=
16,flex.c,"if ( csize == unspecified )
                        /* We encountered an error fairly early on, so csize
                         * never got specified.  Define it now, to prevent
                         * bogus table sizes being written out below.
                         */
                        csize = 256;",Replaced 256 with 255
17,flex.c,"if ( csize == unspecified )
                        /* We encountered an error fairly early on, so csize
                         * never got specified.  Define it now, to prevent
                         * bogus table sizes being written out below.
                         */
                        csize = 256;",Replaced 256 with 257
18,flex.c,"if ( csize == unspecified )
                {
                if ( (fulltbl || fullspd) && ! useecs )
                        csize = DEFAULT_CSIZE;
                else
                        csize = CSIZE;
                }",Replaced == with <=
19,flex.c,"if ( interactive == unspecified )
                {
                if ( fulltbl || fullspd )
                        interactive = false;
                else
                        interactive = true;
                }",Replaced == with <=
20,max.c,"int max(int x, int y)
{
        if (x > y)
        return x;
        else
        return y;
}",Replaced > with >=
21,year.c,"int main()
{
int i;
for (i=Jan; i<=Dec; i++)        
        printf(""%d "", i);
                
return 0;
}",Replaced 0 with 1
